Name                                                                                                          Stmts   Miss  Cover
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/risch.py                                     715    297    58%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/singularityfunctions.py                       16     11    31%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/transforms.py                                581    396    32%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/trigonometry.py                               95     60    37%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/interactive/__init__.py                                  4      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/interactive/printing.py                                234    202    14%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/interactive/session.py                                 168    154     8%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/interactive/traversal.py                                70     66     6%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/logic/__init__.py                                        3      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/logic/boolalg.py                                      1340    543    59%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/logic/inference.py                                      99     79    20%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/__init__.py                                    14      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/common.py                                    1012    630    38%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/decompositions.py                             328    306     7%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/dense.py                                      170    109    36%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/determinant.py                                239    213    11%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/eigen.py                                      475    421    11%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/__init__.py                        21      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/_shape.py                          26     10    62%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/adjoint.py                         28      7    75%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/applyfunc.py                      102     82    20%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/blockmatrix.py                    430    342    20%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/companion.py                       30     20    33%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/determinant.py                     54     30    44%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/diagonal.py                       110     83    25%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/dotproduct.py                      26     20    23%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/funcmatrix.py                      34      7    79%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/hadamard.py                       178    142    20%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/inverse.py                         51     31    39%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/kronecker.py                      163    118    28%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/matadd.py                          76     18    76%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/matexpr.py                        511    215    58%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/matmul.py                         285    164    42%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/matpow.py                          97     72    26%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/permutation.py                    144    119    17%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/sets.py                            38     20    47%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/matrices/expressions/slice.py                           65     48    26%
